,altruist,ego_centered,disappoint,ego_centered,altruist,disappoint,disappoint,disappoint,ego_centered,debatable,ego_centered,disappoint,debatable,responsive,responsive,disappoint,responsive,altruist,debatable,debatable,debatable,altruist,responsive,altruist,responsive,debatable,responsive,responsive,disappoint,ego_centered,debatable,debatable,altruist,disappoint,disappoint,responsive,responsive,altruist,ego_centered,ego_centered,debatable,ego_centered,debatable,altruist,altruist,debatable,debatable,ego_centered,disappoint,debatable,ego_centered,ego_centered,altruist,responsive,ego_centered,responsive,altruist,disappoint,debatable,altruist,responsive,altruist,responsive,ego_centered,responsive,altruist,debatable,ego_centered,disappoint,disappoint,altruist,debatable,responsive,debatable,ego_centered,responsive,disappoint,responsive,ego_centered,responsive,disappoint,altruist,disappoint,responsive,debatable,ego_centered,disappoint,disappoint,ego_centered,altruist,disappoint,debatable,altruist,debatable,ego_centered,responsive,altruist,ego_centered,altruist,disappoint
altruist,0,4,10,4,10,10,10,10,4,4,4,10,4,10,10,10,10,10,4,4,4,10,10,10,10,4,10,10,10,4,4,4,10,10,10,10,10,10,4,4,4,4,4,10,10,4,4,4,10,4,4,4,10,10,4,10,10,10,4,10,10,10,10,4,10,10,4,4,10,10,10,4,10,4,4,10,10,10,4,10,10,10,10,10,4,4,10,10,4,10,10,4,10,4,4,10,10,4,10,10
ego_centered,6,0,6,0,6,6,6,6,0,6,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,6,6,6,6,6,6,6,6,0,0,6,0,6,6,6,6,6,0,6,6,0,0,6,6,0,6,6,6,6,6,6,6,6,0,6,6,6,0,6,6,6,6,6,6,0,6,6,6,0,6,6,6,6,6,6,0,6,6,0,6,6,6,6,6,0,6,6,0,6,6
disappoint,10,4,0,4,10,10,10,10,4,4,0,6,0,0,0,6,0,6,0,0,0,6,0,6,0,0,0,0,6,0,0,0,6,6,6,0,0,6,0,0,0,0,0,6,6,0,0,0,6,0,0,0,6,0,0,0,6,6,0,6,0,6,0,0,0,6,0,0,6,6,6,0,0,0,0,0,6,0,0,0,6,6,6,0,0,0,6,6,0,6,6,0,6,0,0,0,6,0,6,6
ego_centered,6,0,6,0,6,6,6,6,0,6,0,6,0,0,0,6,0,6,0,0,0,6,0,6,0,0,0,0,6,0,0,0,6,6,6,0,0,6,0,0,0,0,0,6,6,0,0,0,6,0,0,0,6,0,0,0,6,6,0,6,0,6,0,0,0,6,0,0,6,6,6,0,0,0,0,0,6,0,0,0,6,6,6,0,0,0,6,6,0,6,6,0,6,0,0,0,6,0,6,6
altruist,10,4,10,4,0,10,10,10,4,4,4,10,4,4,4,10,4,10,4,4,4,10,4,10,4,4,4,4,10,4,4,4,10,10,10,4,4,10,4,4,4,4,4,10,10,4,4,4,10,4,4,4,10,4,4,4,10,10,4,10,4,10,4,4,4,10,4,4,10,10,10,4,4,4,4,4,10,4,4,4,10,10,10,4,4,4,10,10,4,10,10,4,10,4,4,4,10,4,10,10
disappoint,6,0,6,0,6,0,6,6,0,6,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,6,6,6,6,6,6,6,6,0,0,6,0,6,6,6,6,6,0,6,6,0,0,6,6,0,6,6,6,6,6,6,6,6,0,6,6,6,0,6,6,6,6,6,6,0,6,6,6,0,6,6,6,6,6,6,0,6,6,0,6,6,6,6,6,0,6,6,0,6,6
disappoint,6,0,6,0,6,6,0,6,0,0,0,6,0,0,0,6,0,6,0,0,0,6,0,6,0,0,0,0,6,0,0,0,6,6,6,0,0,6,0,0,0,0,0,6,6,0,0,0,6,0,0,0,6,0,0,0,6,6,0,6,0,6,0,0,0,6,0,0,6,6,6,0,0,0,0,0,6,0,0,0,6,6,6,0,0,0,6,6,0,6,6,0,6,0,0,0,6,0,6,6
disappoint,6,0,6,0,6,6,6,0,0,0,0,6,0,0,0,6,0,6,0,0,0,6,0,6,0,0,0,0,6,0,0,0,6,6,6,0,0,6,0,0,0,0,0,6,6,0,0,0,6,0,0,0,6,0,0,0,6,6,0,6,0,6,0,0,0,6,0,0,6,6,6,0,0,0,0,0,6,0,0,0,6,6,6,0,0,0,6,6,0,6,6,0,6,0,0,0,6,0,6,6
ego_centered,6,0,6,0,6,6,6,6,0,0,0,6,0,0,0,6,0,6,0,0,0,6,0,6,0,0,0,0,6,0,0,0,6,6,6,0,0,6,0,0,0,0,0,6,6,0,0,0,6,0,0,0,6,0,0,0,6,6,0,6,0,6,0,0,0,6,0,0,6,6,6,0,0,0,0,0,6,0,0,0,6,6,6,0,0,0,6,6,0,6,6,0,6,0,0,0,6,0,6,6
debatable,6,4,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,6,4,6,4,0,0,0,0,0,0,0,6,4,0,0,0,6,4,0,0,0,0,6,10,4,0,0,0,0,0,0,6,4,0,0,6,4,0,6,4,6,4,0,0,6,4,0,0,0,6,4,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,6,4,0,6,4,0,0,6,4,6,4
ego_centered,6,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,6,6,0,0,6,6,6,6,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,6,6,6,0,0,0,0,0,0,6,6,0,0,6,0,0,6,6,6,6,0,0,6,6,0,0,0,6,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,6,6,0,0,6,0,6,0
disappoint,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,6,6,0,0,0,0,0,0,0,6,0,0,0,6,0,0,6,0,6,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,6,0,0,0,6,0,6,0
debatable,6,4,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,6,4,6,4,0,0,0,0,0,0,0,6,4,0,0,0,6,4,0,0,0,0,6,10,4,0,0,0,0,0,0,6,4,0,0,6,4,0,6,4,6,4,0,0,6,4,0,0,0,6,4,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,6,4,0,6,4,0,0,6,4,6,4
responsive,10,4,0,0,6,4,0,0,0,0,0,0,6,0,4,0,0,6,10,4,0,6,10,10,10,4,0,0,0,0,0,0,6,4,0,0,0,6,4,0,0,0,0,6,10,10,4,0,0,0,0,0,6,10,4,0,6,4,0,6,10,10,10,4,0,6,10,4,0,0,6,10,4,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,6,4,0,6,10,4,0,6,4,6,4
responsive,10,4,0,0,6,4,0,0,0,0,0,0,0,6,0,4,0,6,10,10,4,6,10,10,10,10,4,0,0,0,0,0,6,4,0,0,0,6,4,0,0,0,0,6,10,10,10,4,0,0,0,0,6,10,4,0,6,4,0,6,10,10,10,4,0,6,10,4,0,0,6,10,10,4,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,6,4,0,6,10,4,0,6,4,6,4
disappoint,6,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,6,6,6,6,0,0,0,0,0,6,6,0,0,6,0,0,6,6,6,6,0,0,6,6,0,0,0,6,6,6,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,6,6,0,0,6,0,6,0
responsive,10,4,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,6,4,6,4,0,0,0,0,0,0,0,6,4,0,0,0,6,4,0,0,0,0,6,10,4,0,0,0,0,0,0,6,4,0,0,6,4,0,6,4,6,4,0,0,6,4,0,0,0,6,4,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,6,4,0,6,4,0,0,6,4,6,4
altruist,10,4,4,4,10,4,4,4,4,4,4,4,4,4,4,4,10,0,10,4,4,10,10,10,10,4,4,4,4,4,4,4,10,4,4,4,4,10,4,4,4,4,4,10,10,10,4,4,4,4,4,4,10,10,4,4,10,4,4,10,10,10,10,4,4,10,10,4,4,4,10,10,4,4,4,4,4,4,4,4,4,10,4,4,4,4,4,4,4,10,4,4,10,10,4,4,10,4,10,4
debatable,6,4,0,0,6,4,0,0,0,6,4,0,6,10,10,4,6,10,0,10,10,10,10,10,10,10,10,10,4,0,6,10,10,4,0,6,10,10,4,0,6,4,6,10,10,10,10,4,0,6,4,0,6,10,4,6,10,4,6,10,10,10,10,4,6,10,10,4,0,0,6,10,10,10,4,6,4,6,4,6,4,6,4,6,10,4,0,0,0,6,4,6,10,10,4,6,10,4,6,4
debatable,6,4,0,0,6,4,0,0,0,0,0,0,0,6,10,4,0,6,10,0,10,10,10,10,10,10,10,10,4,0,0,6,10,4,0,0,6,10,4,0,0,0,0,6,10,10,10,4,0,0,0,0,6,10,4,0,6,4,0,6,10,10,10,4,0,6,10,4,0,0,6,10,10,10,4,0,0,0,0,0,0,6,4,0,6,4,0,0,0,6,4,0,6,10,4,0,6,4,6,4
debatable,6,4,0,0,6,4,0,0,0,0,0,0,0,0,6,4,0,6,10,10,0,10,10,10,10,10,10,10,4,0,0,0,6,4,0,0,0,6,4,0,0,0,0,6,10,10,10,4,0,0,0,0,6,10,4,0,6,4,0,6,10,10,10,4,0,6,10,4,0,0,6,10,10,10,4,0,0,0,0,0,0,6,4,0,0,0,0,0,0,6,4,0,6,10,4,0,6,4,6,4
altruist,10,4,4,4,10,4,4,4,4,4,4,4,4,4,4,4,4,10,10,10,10,0,10,10,10,10,10,10,4,4,4,4,10,4,4,4,4,10,4,4,4,4,4,10,10,10,10,4,4,4,4,4,10,10,4,4,10,4,4,10,10,10,10,4,4,10,10,4,4,4,10,10,10,10,4,4,4,4,4,4,4,10,4,4,4,4,4,4,4,10,4,4,10,10,4,4,10,4,10,4
responsive,10,4,0,0,6,4,0,0,0,6,4,0,6,10,10,4,6,10,10,10,10,10,0,10,10,10,10,10,4,0,6,10,10,4,0,6,10,10,4,0,6,4,6,10,10,10,10,4,0,6,4,0,6,10,4,6,10,4,6,10,10,10,10,4,6,10,10,4,0,0,6,10,10,10,4,6,4,6,4,6,4,6,4,6,10,4,0,0,0,6,4,6,10,10,4,6,10,4,6,4
altruist,10,4,4,4,10,4,4,4,4,4,4,4,4,10,10,4,4,10,10,10,10,10,10,0,10,10,10,10,4,4,4,10,10,4,4,4,10,10,4,4,4,4,4,10,10,10,10,4,4,4,4,4,10,10,4,4,10,4,4,10,10,10,10,4,4,10,10,4,4,4,10,10,10,10,4,4,4,4,4,4,4,10,4,4,10,4,4,4,4,10,4,4,10,10,4,4,10,4,10,4
responsive,10,4,0,0,6,4,0,0,0,6,4,0,6,10,10,4,6,10,10,10,10,10,10,10,0,10,10,10,4,0,6,10,10,4,0,6,10,10,4,0,6,4,6,10,10,10,10,4,0,6,4,0,6,10,4,6,10,4,6,10,10,10,10,4,6,10,10,4,0,0,6,10,10,10,4,6,4,6,4,6,4,6,4,6,10,4,0,0,0,6,4,6,10,10,4,6,10,4,6,4
debatable,6,4,0,0,6,4,0,0,0,0,0,0,0,6,10,4,0,6,10,10,10,10,10,10,10,0,10,10,4,0,0,6,10,4,0,0,6,10,4,0,0,0,0,6,10,10,10,4,0,0,0,0,6,10,4,0,6,4,0,6,10,10,10,4,0,6,10,4,0,0,6,10,10,10,4,0,0,0,0,0,0,6,4,0,6,4,0,0,0,6,4,0,6,10,4,0,6,4,6,4
responsive,10,4,0,0,6,4,0,0,0,0,0,0,0,0,6,4,0,6,10,10,10,10,10,10,10,10,0,10,4,0,0,0,6,4,0,0,0,6,4,0,0,0,0,6,10,10,10,4,0,0,0,0,6,10,4,0,6,4,0,6,10,10,10,4,0,6,10,4,0,0,6,10,10,10,4,0,0,0,0,0,0,6,4,0,0,0,0,0,0,6,4,0,6,10,4,0,6,4,6,4
responsive,10,4,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,6,10,10,10,10,10,10,10,10,10,0,4,0,0,0,6,4,0,0,0,6,4,0,0,0,0,6,10,10,10,4,0,0,0,0,6,10,4,0,6,4,0,6,10,10,10,4,0,6,10,4,0,0,6,10,10,10,4,0,0,0,0,0,0,6,4,0,0,0,0,0,0,6,4,0,6,10,4,0,6,4,6,4
disappoint,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,6,6,6,6,0,0,0,0,0,6,6,0,0,6,0,0,6,6,6,6,0,0,6,6,0,0,0,6,6,6,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,6,6,0,0,6,0,6,0
ego_centered,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,6,6,0,0,0,0,0,0,0,6,0,0,0,6,0,0,6,0,6,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,6,0,0,0,6,0,6,0
debatable,6,4,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,6,4,6,4,0,0,0,0,0,0,0,6,4,0,0,0,6,4,0,0,0,0,6,10,4,0,0,0,0,0,0,6,4,0,0,6,4,0,6,4,6,4,0,0,6,4,0,0,0,6,4,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,6,4,0,6,4,0,0,6,4,6,4
debatable,6,4,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,6,10,4,0,6,10,10,10,4,0,0,0,0,6,0,10,4,0,0,0,6,4,0,0,0,0,6,10,10,4,0,0,0,0,0,6,10,4,0,6,4,0,6,10,10,10,4,0,6,10,4,0,0,6,10,4,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,6,4,0,6,10,4,0,6,4,6,4
altruist,10,4,4,4,10,4,4,4,4,4,4,4,4,4,4,4,4,10,10,10,4,10,10,10,10,10,4,4,4,4,4,4,0,4,4,4,4,10,4,4,4,4,4,10,10,10,10,4,4,4,4,4,10,10,4,4,10,4,4,10,10,10,10,4,4,10,10,4,4,4,10,10,10,4,4,4,4,4,4,4,4,10,4,4,4,4,4,4,4,10,4,4,10,10,4,4,10,4,10,4
disappoint,6,0,0,0,6,0,0,0,0,6,0,0,6,6,6,0,6,6,6,6,6,6,6,6,6,6,6,6,0,0,6,6,6,0,0,6,6,6,0,0,6,0,6,6,6,6,6,0,0,6,0,0,6,6,0,6,6,0,6,6,6,6,6,0,6,6,6,0,0,0,6,6,6,6,0,6,0,6,0,6,0,6,0,6,6,0,0,0,0,6,0,6,6,6,0,6,6,0,6,0
disappoint,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,6,6,0,0,0,0,0,0,0,6,0,0,0,6,0,0,6,0,6,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,6,0,0,0,6,0,6,0
responsive,10,4,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,6,4,6,4,0,0,0,0,0,0,0,6,4,0,0,0,6,4,0,0,0,0,6,10,4,0,0,0,0,0,0,6,4,0,0,6,4,0,6,4,6,4,0,0,6,4,0,0,0,6,4,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,6,4,0,6,4,0,0,6,4,6,4
responsive,10,4,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,6,10,4,0,6,10,10,10,4,0,0,0,0,0,0,6,4,0,6,0,10,4,0,0,0,0,6,10,10,4,0,0,0,0,0,6,10,4,0,6,4,0,6,10,10,10,4,0,6,10,4,0,0,6,10,4,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,6,4,0,6,10,4,0,6,4,6,4
altruist,10,4,4,4,10,4,4,4,4,4,4,4,4,4,4,4,4,10,10,10,4,10,10,10,10,10,4,4,4,4,4,4,10,4,4,4,10,0,4,4,4,4,4,10,10,10,10,4,4,4,4,4,10,10,4,4,10,4,4,10,10,10,10,4,4,10,10,4,4,4,10,10,10,4,4,4,4,4,4,4,4,10,4,4,4,4,4,4,4,10,4,4,10,10,4,4,10,4,10,4
ego_centered,6,0,0,0,6,0,0,0,0,6,0,0,6,6,6,0,6,6,6,6,6,6,6,6,6,6,6,6,0,0,6,6,6,0,0,6,6,6,0,0,6,0,6,6,6,6,6,0,0,6,0,0,6,6,0,6,6,0,6,6,6,6,6,0,6,6,6,0,0,0,6,6,6,6,0,6,0,6,0,6,0,6,0,6,6,0,0,0,0,6,0,6,6,6,0,6,6,0,6,0
ego_centered,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,6,6,0,0,0,0,0,0,0,6,0,0,0,6,0,0,6,0,6,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,6,0,0,0,6,0,6,0
debatable,6,4,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,6,4,6,4,0,0,0,0,0,0,0,6,4,0,0,0,6,4,0,0,0,0,6,10,4,0,0,0,0,0,0,6,4,0,0,6,4,0,6,4,6,4,0,0,6,4,0,0,0,6,4,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,6,4,0,6,4,0,0,6,4,6,4
ego_centered,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,6,6,6,6,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,6,0,0,6,6,6,0,0,0,0,0,0,6,6,0,0,6,0,0,6,6,6,6,0,0,6,6,0,0,0,6,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,6,6,0,0,6,0,6,0
debatable,6,4,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,6,4,6,4,0,0,0,0,0,0,0,6,4,0,0,0,6,4,0,0,0,0,6,10,4,0,0,0,0,0,0,6,4,0,0,6,4,0,6,4,6,4,0,0,6,4,0,0,0,6,4,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,6,4,0,6,4,0,0,6,4,6,4
altruist,10,4,4,4,10,4,4,4,4,4,4,4,4,4,4,4,4,10,10,4,4,10,10,10,10,4,4,4,4,4,4,4,10,4,4,4,4,10,4,4,4,4,4,0,10,10,4,4,4,4,4,4,10,10,4,4,10,4,4,10,10,10,10,4,4,10,10,4,4,4,10,10,4,4,4,4,4,4,4,4,4,10,4,4,4,4,4,4,4,10,4,4,10,10,4,4,10,4,10,4
altruist,10,4,4,4,10,4,4,4,4,10,4,4,10,10,10,4,10,10,10,10,10,10,10,10,10,10,10,10,4,4,10,10,10,4,4,10,10,10,4,4,10,4,10,10,0,10,10,4,4,10,4,4,10,10,4,10,10,4,10,10,10,10,10,4,10,10,10,4,4,4,10,10,10,10,4,10,4,10,4,10,4,10,4,10,10,4,4,4,4,10,4,10,10,10,4,10,10,4,10,4
debatable,6,4,0,0,6,4,0,0,0,6,4,0,6,10,10,4,6,10,10,10,10,10,10,10,10,10,10,10,4,0,6,10,10,4,0,6,10,10,4,0,6,4,6,10,10,0,10,4,0,6,4,0,6,10,4,6,10,4,6,10,10,10,10,4,6,10,10,4,0,0,6,10,10,10,4,6,4,6,4,6,4,6,4,6,10,4,0,0,0,6,4,6,10,10,4,6,10,4,6,4
debatable,6,4,0,0,6,4,0,0,0,0,0,0,0,6,10,4,0,6,10,10,10,10,10,10,10,10,10,10,4,0,0,6,10,4,0,0,6,10,4,0,0,0,0,6,10,10,0,4,0,0,0,0,6,10,4,0,6,4,0,6,10,10,10,4,0,6,10,4,0,0,6,10,10,10,4,0,0,0,0,0,0,6,4,0,6,4,0,0,0,6,4,0,6,10,4,0,6,4,6,4
